state,code,nickname,capital_city
Alabama,AL,Yellowhammer State,Montgomery
Alaska,AK,The Last Frontier,Juneau
Arizona,AZ,The Grand Canyon State,Phoenix
Arkansas,AR,The Natural State,Little Rock
California,CA,Golden State,Sacramento
Colorado,CO,The Centennial State,Denver
Connecticut,CT,Constitution State,Hartford
Delaware,DE,The First State / The Diamond State,Dover
Florida,FL,Sunshine State,Tallahassee
Georgia,GA,Peach State,Atlanta
Hawaii,HI,Aloha State,Honolulu
Idaho,ID,Gem State,Boise
Illinois,IL,Prairie State,Springfield
Indiana,IN,Hoosier State,Indianapolis
Iowa,IA,Hawkeye State,Des Moines
Kansas,KS,Sunflower State,Topeka
Kentucky,KY,Bluegrass State,Frankfort
Louisiana,LA,Pelican State,Baton Rouge
Maine,ME,Pine Tree State,Augusta
Maryland,MD,Old Line State,Annapolis
Massachusetts,MA,Bay State,Boston
Michigan,MI,Wolverine State / Great Lakes State,Lansing
Minnesota,MN,North Star State / Land of 10000 Lakes,Saint Paul
Mississippi,MS,Magnolia State,Jackson
Missouri,MO,Show Me State,Jefferson City
Montana,MT,Treasure State,Helena
Nebraska,NE,Cornhusker State,Lincoln
Nevada,NV,The Silver State,Carson City
New Hampshire,NH,Granite State,Concord
New Jersey,NJ,Garden State,Trenton
New Mexico,NM,Land of Enchantment,Santa Fe
New York,NY,Empire State,Albany
North Carolina,NC,Old North State / Tar Heel State,Raleigh
North Dakota,ND,Peace Garden State / Flickertail State / Roughrider State,Bismarck
Ohio,OH,Buckeye State,Columbus
Oklahoma,OK,Sooner State,Oklahoma City
Oregon,OR,Beaver State,Salem
Pennsylvania,PA,Keystone State,Harrisburg
Rhode Island,RI,The Ocean State,Providence
South Carolina,SC,Palmetto State,Columbia
South Dakota,SD,Mount Rushmore State,Pierre
Tennessee,TN,Volunteer State,Nashville
Texas,TX,Lone Star State,Austin
Utah,UT,The Beehive State,Salt Lake City
Vermont,VT,Green Mountain State,Montpelier
Virginia,VA,Old Dominion State,Richmond
Washington,WA,The Evergreen State,Olympia
West Virginia,WV,Mountain State,Charleston
Wisconsin,WI,Badger State,Madison
Wyoming,WY,Equality State,Cheyenne
